Country,City,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,day_of_week,hour
0,3,0.0,1.0,0.0,0.0,0.0,15.833333333333332,15.333333333333334,4,0
0,5,0.0,8.0,0.0,0.0,7.0,17.0,16.833333333333332,6,8
0,9,0.0,0.0,0.0,0.0,0.0,14.833333333333334,15.0,4,3
0,7,7.5,45.0,1.6,3.0,41.0,21.5,20.833333333333336,0,11
0,2,12.9,40.0,2.0,5.0,45.0,20.833333333333336,21.5,2,7
0,4,0.0,1.0,0.0,0.0,0.0,9.166666666666666,9.0,2,1
0,9,118.4,66.0,12.8,27.0,35.0,25.5,20.666666666666668,4,6
0,8,41.6,47.0,7.2,13.0,33.0,23.83333333333333,21.5,1,6
0,7,37.5,79.0,5.4,12.0,58.0,26.0,23.0,0,16
0,9,7.6,42.0,1.3,4.0,37.0,22.5,21.666666666666664,1,11
0,9,112.2,60.0,11.4,26.0,44.0,24.666666666666668,22.166666666666668,2,6
0,5,0.0,0.0,0.0,0.0,0.0,15.166666666666666,14.833333333333334,1,1
0,9,36.1,49.0,4.1,13.0,47.0,23.333333333333336,23.0,1,13
0,9,0.0,0.0,0.0,0.0,0.0,14.5,14.5,1,3
0,4,62.0,42.0,10.7,20.0,21.0,15.166666666666666,12.833333333333334,4,17
0,3,4.6,12.0,0.2,1.0,10.0,17.666666666666664,17.5,1,20
0,4,0.0,2.0,0.0,0.0,0.0,9.166666666666666,8.666666666666668,2,3
0,3,33.5,42.0,6.3,9.0,30.0,22.333333333333336,20.5,4,8
0,8,0.0,0.0,0.0,0.0,0.0,16.166666666666668,15.666666666666666,2,2
0,7,0.0,14.0,0.0,0.0,13.0,16.333333333333332,16.166666666666668,6,7
0,7,62.3,65.0,8.3,20.0,60.0,24.33333333333333,23.5,1,13
0,7,0.0,37.0,0.0,0.0,34.0,20.0,19.5,3,18
0,8,2.4,21.0,0.4,1.0,18.0,21.33333333333333,20.833333333333336,4,21
0,7,0.0,26.0,0.0,0.0,27.0,18.666666666666668,18.83333333333333,5,19
0,3,0.0,0.0,0.0,0.0,0.0,15.333333333333334,15.0,0,3
0,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2,23
0,5,1.7,0.0,0.1,1.0,0.0,15.833333333333332,15.0,0,0
0,10,44.0,33.0,10.5,16.0,23.0,21.5,19.833333333333336,4,6
0,7,1.8,34.0,0.2,2.0,28.0,19.5,18.666666666666668,5,16
0,11,0.0,0.0,0.0,0.0,0.0,19.0,18.166666666666668,1,2
0,3,1.0,24.0,0.1,1.0,21.0,19.833333333333336,19.33333333333333,5,18
0,10,325.3,102.0,41.3,80.0,79.0,34.833333333333336,30.833333333333336,1,15
0,4,111.7,37.0,13.6,29.0,15.0,14.333333333333334,12.0,5,12
0,6,57.3,56.0,6.1,19.0,38.0,26.83333333333333,23.83333333333333,5,13
0,4,0.0,3.0,0.0,0.0,4.0,10.833333333333332,10.833333333333332,1,21
0,10,0.0,3.0,0.0,0.0,0.0,17.333333333333336,16.5,3,23
0,7,0.0,0.0,0.0,0.0,0.0,13.333333333333332,13.0,5,3
0,1,0.0,26.0,0.0,0.0,25.0,16.5,16.333333333333332,0,9
0,5,49.2,43.0,6.2,19.0,45.0,22.83333333333333,23.166666666666668,4,10
0,6,0.0,0.0,0.0,0.0,0.0,15.833333333333332,15.666666666666666,2,0
0,0,0.0,0.0,0.0,0.0,0.0,13.333333333333332,13.833333333333332,0,0
0,7,0.0,29.0,0.0,0.0,26.0,19.0,18.5,6,15
0,7,2.5,0.0,0.1,1.0,0.0,12.333333333333334,12.333333333333334,2,3
0,10,65.4,48.0,8.0,22.0,34.0,25.166666666666664,22.83333333333333,2,10
0,11,12.3,26.0,1.0,4.0,15.0,24.33333333333333,22.166666666666668,5,8
0,3,0.0,5.0,0.0,0.0,1.0,17.0,16.333333333333332,3,22
0,7,0.9,33.0,0.1,1.0,21.0,19.0,17.333333333333336,5,8
0,6,6.6,32.0,0.5,2.0,25.0,22.5,21.33333333333333,6,13
0,9,9.3,40.0,1.3,5.0,36.0,22.0,21.33333333333333,2,11
0,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4,0
0,8,77.9,74.0,9.8,21.0,62.0,29.5,27.333333333333336,4,16
0,5,29.1,40.0,5.0,10.0,43.0,22.5,23.0,0,12
0,4,0.0,12.0,0.0,0.0,12.0,11.833333333333334,11.833333333333334,0,19
0,4,49.6,26.0,10.7,17.0,15.0,13.0,11.833333333333334,5,13
0,9,45.7,54.0,5.2,15.0,38.0,23.83333333333333,21.5,0,8
0,3,527.9,134.0,52.4,94.0,58.0,37.66666666666666,25.33333333333333,0,16
0,5,440.9,97.0,42.0,99.0,80.0,32.16666666666667,29.5,4,14
0,0,19.4,61.0,2.1,7.0,44.0,22.83333333333333,20.5,1,16
0,0,0.0,15.0,0.0,0.0,14.0,17.0,16.833333333333332,1,20
0,4,1.1,4.0,0.1,1.0,1.0,9.5,9.166666666666666,2,4
0,2,35.4,52.0,7.1,12.0,35.0,22.5,20.0,4,6
0,11,5.1,28.0,0.6,3.0,19.0,25.33333333333333,23.5,1,20
0,1,19.7,39.0,2.4,6.0,28.0,17.833333333333336,16.5,4,11
0,8,0.0,0.0,0.0,0.0,0.0,17.333333333333336,16.833333333333332,6,0
0,8,2.6,16.0,0.3,1.0,13.0,20.0,19.666666666666664,1,21
0,8,0.0,0.0,0.0,0.0,0.0,16.833333333333332,16.333333333333332,6,3
0,5,54.3,50.0,8.1,21.0,32.0,24.0,21.166666666666668,5,14
0,0,9.3,55.0,2.0,4.0,44.0,22.0,20.5,3,16
0,5,34.5,33.0,7.1,11.0,21.0,19.833333333333336,18.166666666666668,2,5
0,6,0.0,19.0,0.0,0.0,8.0,21.0,19.166666666666668,4,22
0,7,136.5,97.0,18.5,43.0,74.0,28.83333333333333,25.5,4,15
0,0,5.9,25.0,0.6,2.0,23.0,17.666666666666664,17.333333333333336,5,9
0,6,0.0,15.0,0.0,0.0,5.0,19.5,18.0,6,5
0,7,23.0,51.0,2.5,6.0,42.0,22.166666666666668,20.833333333333336,2,11
0,10,8.2,11.0,0.5,3.0,10.0,18.666666666666668,18.5,3,21
0,0,0.0,11.0,0.0,0.0,10.0,16.0,15.833333333333332,6,20
0,3,146.4,80.0,21.4,37.0,54.0,28.166666666666668,24.166666666666664,2,16
0,7,2.3,0.0,0.1,1.0,0.0,13.333333333333332,13.5,6,1
0,3,115.0,73.0,19.3,27.0,40.0,27.0,22.0,2,8
0,3,387.8,95.0,42.6,78.0,72.0,30.833333333333336,27.166666666666668,3,14
0,8,6.4,18.0,0.5,3.0,15.0,20.33333333333333,19.666666666666664,3,21
0,6,0.0,0.0,0.0,0.0,0.0,17.166666666666664,16.666666666666668,3,23
0,3,2.6,12.0,0.2,1.0,11.0,17.5,17.333333333333336,6,19
0,5,2.6,34.0,0.3,1.0,27.0,21.83333333333333,20.5,1,19
0,4,0.0,6.0,0.0,0.0,7.0,10.833333333333332,11.0,6,13
0,4,1.7,3.0,0.0,1.0,0.0,11.333333333333332,10.833333333333332,4,23
0,5,1.1,0.0,0.2,1.0,0.0,16.166666666666668,15.166666666666666,6,3
0,0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,14.333333333333334,5,4
0,3,0.0,8.0,0.0,0.0,5.0,17.5,17.0,5,22
0,1,30.7,44.0,3.8,9.0,39.0,18.83333333333333,18.166666666666668,3,13
0,4,54.1,39.0,11.0,17.0,28.0,14.333333333333334,13.166666666666666,1,8
0,11,3.4,32.0,0.1,1.0,30.0,26.166666666666668,25.666666666666668,3,19
0,2,74.9,64.0,9.0,22.0,54.0,24.833333333333336,23.333333333333336,3,13
0,2,0.0,7.0,0.0,0.0,4.0,16.5,16.166666666666668,3,22
0,2,0.0,0.0,0.0,0.0,0.0,14.666666666666666,14.666666666666666,2,3
0,6,0.0,0.0,0.0,0.0,0.0,17.333333333333336,16.666666666666668,3,23
0,10,0.0,0.0,0.0,0.0,0.0,15.5,14.833333333333334,3,3
0,0,6.6,37.0,0.5,3.0,38.0,19.33333333333333,19.5,1,13
0,9,0.0,0.0,0.0,0.0,0.0,14.333333333333334,14.5,0,3
0,0,0.0,0.0,0.0,0.0,0.0,14.0,14.333333333333334,4,0
0,2,0.0,1.0,0.0,0.0,0.0,15.166666666666666,15.166666666666666,5,4
0,6,0.0,0.0,0.0,0.0,0.0,14.666666666666666,14.666666666666666,1,3
0,11,422.9,110.0,44.6,100.0,73.0,41.5,34.166666666666664,1,14
0,3,38.4,35.0,3.7,9.0,22.0,21.5,19.33333333333333,5,17
0,2,9.9,38.0,1.5,3.0,44.0,20.166666666666664,21.0,1,6
0,3,43.5,46.0,6.1,14.0,35.0,22.666666666666664,21.0,1,9
0,3,107.2,65.0,15.8,25.0,40.0,26.0,22.166666666666668,1,8
0,8,0.0,21.0,0.0,0.0,18.0,21.33333333333333,20.833333333333336,4,21
0,3,43.4,40.0,6.3,12.0,32.0,21.83333333333333,20.5,2,9
0,11,22.0,44.0,3.0,9.0,38.0,28.333333333333336,27.333333333333336,2,11
0,9,0.0,17.0,0.0,0.0,14.0,17.166666666666664,16.666666666666668,3,5
0,4,0.5,2.0,1.4,1.0,1.0,8.833333333333332,8.833333333333332,3,4
0,3,300.7,81.0,34.6,70.0,71.0,28.333333333333336,26.83333333333333,2,14
0,7,0.0,0.0,0.0,0.0,0.0,13.5,13.333333333333332,5,0
0,0,0.0,1.0,0.0,0.0,1.0,15.833333333333332,15.833333333333332,4,23
0,4,0.0,1.0,0.0,0.0,0.0,8.833333333333332,8.666666666666668,4,3
0,3,0.0,3.0,0.0,0.0,0.0,16.333333333333332,15.666666666666666,6,23
0,0,0.0,0.0,0.0,0.0,0.0,13.166666666666666,13.5,0,1
0,0,0.0,3.0,0.0,0.0,3.0,13.833333333333332,13.833333333333332,6,7
0,9,0.0,10.0,0.0,0.0,5.0,16.666666666666668,15.833333333333332,5,6
0,1,9.3,26.0,0.7,3.0,24.0,16.5,16.166666666666668,2,9
0,9,0.0,3.0,0.0,0.0,1.0,14.666666666666666,14.5,2,4
0,2,12.4,37.0,1.3,5.0,42.0,19.833333333333336,20.666666666666668,0,6
0,9,0.0,0.0,0.0,0.0,0.0,14.666666666666666,14.333333333333334,2,2
0,5,0.0,15.0,0.0,0.0,17.0,18.33333333333333,18.666666666666668,0,20
0,3,2.9,16.0,0.4,1.0,16.0,18.166666666666668,18.166666666666668,6,15
0,10,164.2,66.0,25.1,45.0,48.0,28.166666666666668,25.166666666666664,0,8
0,9,0.0,37.0,0.0,0.0,38.0,21.33333333333333,21.5,3,12
0,11,6.8,17.0,0.6,2.0,8.0,23.5,21.83333333333333,4,22
0,4,309.0,82.0,50.6,69.0,43.0,19.0,15.0,4,14
0,6,525.3,126.0,48.3,102.0,86.0,38.833333333333336,31.83333333333333,1,15
0,7,0.0,30.0,0.0,0.0,20.0,18.666666666666668,17.166666666666664,5,7
0,2,0.0,0.0,0.0,0.0,0.0,14.166666666666668,14.0,2,1
0,0,39.4,56.0,5.8,14.0,38.0,21.83333333333333,19.33333333333333,4,7
0,4,8.2,16.0,0.3,5.0,16.0,12.333333333333334,12.333333333333334,4,19
0,7,2.0,21.0,0.1,1.0,23.0,18.0,18.33333333333333,4,21
0,7,35.2,62.0,5.4,16.0,58.0,23.5,23.0,3,13
0,7,0.0,0.0,0.0,0.0,0.0,13.666666666666668,13.333333333333332,3,23
0,4,2.5,0.0,1.1,1.0,0.0,9.833333333333332,9.833333333333332,2,23
0,1,0.0,1.0,0.0,0.0,0.0,10.333333333333334,10.333333333333334,6,7
0,7,2.3,30.0,0.3,1.0,27.0,18.5,17.833333333333336,4,5
0,3,3.0,6.0,0.3,1.0,3.0,17.0,16.5,5,23
0,9,154.2,65.0,13.8,28.0,41.0,25.0,21.33333333333333,0,6
0,3,0.0,0.0,0.0,0.0,0.0,15.333333333333334,15.333333333333334,2,3
0,10,177.2,82.0,25.9,47.0,69.0,31.166666666666668,29.0,4,15
0,0,0.0,0.0,0.0,0.0,0.0,14.166666666666668,14.333333333333334,2,23
0,9,3.3,20.0,0.4,1.0,18.0,18.666666666666668,18.166666666666668,6,14
0,4,0.0,8.0,0.0,0.0,8.0,11.666666666666668,11.666666666666668,1,20
0,11,175.1,73.0,18.5,36.0,51.0,34.0,29.5,2,7
0,10,12.5,24.0,0.7,2.0,24.0,21.166666666666668,21.166666666666668,6,14
0,6,0.0,8.0,0.0,0.0,5.0,17.166666666666664,16.833333333333332,3,4
0,2,0.0,0.0,0.0,0.0,0.0,15.166666666666666,15.166666666666666,5,1
0,11,0.0,15.0,0.0,0.0,8.0,23.333333333333336,21.83333333333333,4,22
0,3,13.7,31.0,1.1,4.0,27.0,20.666666666666668,20.166666666666664,3,18
0,8,91.7,72.0,12.3,26.0,51.0,29.166666666666664,25.5,3,8
0,6,3.4,24.0,0.4,2.0,21.0,20.833333333333336,20.33333333333333,6,10
0,0,0.0,14.0,0.0,0.0,13.0,14.833333333333334,14.666666666666666,2,5
0,2,0.0,0.0,0.0,0.0,0.0,14.166666666666668,14.0,1,3
0,1,0.0,9.0,0.0,0.0,9.0,12.666666666666666,12.666666666666666,6,10
0,3,0.0,18.0,0.0,0.0,17.0,18.83333333333333,18.83333333333333,1,19
0,4,0.0,0.0,0.0,0.0,0.0,11.333333333333332,11.333333333333332,6,2
0,11,3.4,31.0,0.5,2.0,27.0,26.0,25.33333333333333,1,19
0,3,4.5,25.0,0.3,2.0,23.0,20.0,19.666666666666664,5,17
0,5,38.6,43.0,5.4,15.0,46.0,22.83333333333333,23.333333333333336,4,11
0,9,39.5,42.0,4.6,12.0,35.0,22.166666666666668,21.0,5,12
0,3,97.0,46.0,13.0,29.0,46.0,22.666666666666664,22.666666666666664,1,13
0,4,0.0,0.0,0.0,0.0,0.0,9.833333333333332,9.833333333333332,1,23
0,9,0.0,0.0,0.0,0.0,0.0,16.333333333333332,16.166666666666668,6,2
0,0,4.4,34.0,0.2,1.0,31.0,18.83333333333333,18.33333333333333,1,9
0,9,220.3,84.0,27.4,66.0,70.0,28.5,26.5,0,14
0,5,5.5,23.0,0.4,2.0,26.0,19.5,20.0,5,9
0,7,0.0,28.0,0.0,0.0,28.0,18.83333333333333,18.83333333333333,3,19
0,9,13.2,34.0,1.0,3.0,32.0,20.833333333333336,20.5,1,9
0,9,13.4,40.0,1.7,6.0,37.0,21.666666666666664,21.166666666666668,0,12
0,11,0.0,0.0,0.0,0.0,0.0,18.83333333333333,18.5,3,1
0,8,175.9,77.0,24.4,52.0,64.0,30.0,27.83333333333333,4,13
0,0,0.0,15.0,0.0,0.0,12.0,15.166666666666666,14.666666666666666,0,5
0,8,0.0,3.0,0.0,0.0,0.0,18.33333333333333,17.666666666666664,4,23
0,1,0.0,11.0,0.0,0.0,6.0,14.666666666666666,14.0,0,20
0,10,5.3,13.0,1.5,2.0,6.0,17.166666666666664,16.166666666666668,3,5
0,4,0.5,3.0,1.0,1.0,1.0,9.166666666666666,9.0,3,4
0,1,25.1,57.0,3.1,7.0,35.0,20.833333333333336,17.833333333333336,0,7
0,3,0.0,1.0,0.0,0.0,0.0,15.666666666666666,15.166666666666666,3,0
0,3,41.1,35.0,7.0,11.0,24.0,20.166666666666664,18.5,2,5
0,0,0.0,28.0,0.0,0.0,21.0,18.666666666666668,17.666666666666664,5,18
0,0,0.0,2.0,0.0,0.0,0.0,12.833333333333334,12.666666666666666,4,4
0,3,0.0,0.0,0.0,0.0,0.0,16.0,15.666666666666666,3,0
0,7,0.0,19.0,0.0,0.0,11.0,16.333333333333332,15.0,2,4
0,9,1.2,20.0,0.0,1.0,18.0,18.5,18.33333333333333,6,15
0,6,5.2,40.0,0.3,2.0,11.0,24.0,19.166666666666668,6,8
0,11,5.5,23.0,0.5,2.0,20.0,23.83333333333333,23.333333333333336,6,10
0,9,52.5,57.0,6.8,15.0,37.0,24.5,21.33333333333333,3,8
0,1,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2,1
0,6,19.9,37.0,2.9,7.0,26.0,22.166666666666668,20.33333333333333,2,5
0,10,119.9,67.0,21.3,36.0,41.0,28.333333333333336,24.0,3,9
0,8,94.8,68.0,12.6,29.0,46.0,28.333333333333336,24.5,4,7
0,1,0.0,0.0,0.0,0.0,0.0,13.666666666666668,13.5,6,0
0,10,0.0,0.0,0.0,0.0,0.0,16.666666666666668,15.833333333333332,6,4
0,8,2.2,7.0,0.1,1.0,2.0,17.0,16.166666666666668,1,4
0,2,0.0,0.0,0.0,0.0,0.0,13.666666666666668,13.833333333333332,0,1
0,3,90.7,43.0,13.4,26.0,46.0,22.333333333333336,22.666666666666664,2,13
0,1,11.4,36.0,1.1,4.0,29.0,17.166666666666664,16.333333333333332,4,11
0,11,348.6,104.0,41.3,84.0,73.0,40.66666666666666,34.5,3,14
0,5,2.4,17.0,0.1,1.0,17.0,18.83333333333333,18.83333333333333,0,20
0,5,0.0,2.0,0.0,0.0,0.0,16.666666666666668,16.0,3,23
0,3,115.0,50.0,13.5,32.0,45.0,23.5,22.666666666666664,1,13
0,1,52.7,54.0,7.0,18.0,49.0,20.33333333333333,19.666666666666664,0,14
0,3,50.9,44.0,7.7,12.0,32.0,22.333333333333336,20.33333333333333,2,9
0,4,0.0,3.0,0.0,0.0,0.0,9.333333333333334,9.0,1,2
0,5,25.5,26.0,4.5,7.0,22.0,19.0,18.33333333333333,1,5
